CNN,PRIMARY_ST,CROSS_ST,Type,DIRECT,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,Month,Year,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM,VOLUME_PM,85_PERCENTILE,AVG_SPEED,AUTO_APPROACH_VOL_E_AM,AUTO_APPROACH_VOL_W_AM,AUTO_APPROACH_VOL_N_AM,AUTO_APPROACH_VOL_S_AM,AUTO_DEPART_VOL_E_AM,AUTO_DEPART_VOL_W_AM,AUTO_DEPART_VOL_N_AM,AUTP_DEPART_VOL_S_AM,BIKE_APPROACH_VOL_E_AM,BIKE_APPROACH_VOL_W_AM,BIKE_APPROACH_VOL_N_AM,BIKE_APPROACH_VOL_S_AM,BIKE_DEPART_VOL_E_AM,BIKE_DEPART_VOL_W_AM,BIKE_DEPART_VOL_N_AM,BIKE_DEPART_VOL_S_AM,PED_VOL_EAST_AM,PED_VOL_WEST_AM,PED_VOL_NORTH_AM,PED_VOL_SOUTH_AM,AUTO_APPROACH_VOL_E_PM,AUTO_APPROACH_VOL_W_PM,AUTO_APPROACH_VOL_N_PM,AUTO_APPROACH_VOL_S_PM,AUTO_DEPART_VOL_E_PM,AUTO_DEPART_VOL_W_PM,AUTO_DEPART_VOL_N_PM,AUTP_DEPART_VOL_S_PM,BIKE_APPROACH_VOL_E_PM,BIKE_APPROACH_VOL_W_PM,BIKE_APPROACH_VOL_N_PM,BIKE_APPROACH_VOL_S_PM,BIKE_DEPART_VOL_E_PM,BIKE_DEPART_VOL_W_PM,BIKE_DEPART_VOL_N_PM,BIKE_DEPART_VOL_S_PM,PED_VOL_EAST_PM,PED_VOL_WEST_PM,PED_VOL_NORTH_PM,PED_VOL_SOUTH_PM,AUTO_APPROACH_VOL_E_MID,AUTO_APPROACH_VOL_W_MID,AUTO_APPROACH_VOL_N_MID,AUTO_APPROACH_VOL_S_MID,AUTO_DEPART_VOL_E_MID,AUTO_DEPART_VOL_W_MID,AUTO_DEPART_VOL_N_MID,AUTP_DEPART_VOL_S_MID,BIKE_APPROACH_VOL_E_MID,BIKE_APPROACH_VOL_W_MID,BIKE_APPROACH_VOL_N_MID,BIKE_APPROACH_VOL_S_MID,BIKE_DEPART_VOL_E_MID,BIKE_DEPART_VOL_W_MID,BIKE_DEPART_VOL_N_MID,BIKE_DEPART_VOL_S_MID,PED_VOL_EAST_MID,PED_VOL_WEST_MID,PED_VOL_NORTH_MID,PED_VOL_SOUTH_MID,AUTO_APPROACH_VOL_E_WKD_AM,AUTO_APPROACH_VOL_W_WKD_AM,AUTO_APPROACH_VOL_N_WKD_AM,AUTO_APPROACH_VOL_S_WKD_AM,AUTO_DEPART_VOL_E_WKD_AM,AUTO_DEPART_VOL_W_WKD_AM,AUTO_DEPART_VOL_N_WKD_AM,AUTP_DEPART_VOL_S_WKD_AM,BIKE_APPROACH_VOL_E_WKD_AM,BIKE_APPROACH_VOL_W_WKD_AM,BIKE_APPROACH_VOL_N_WKD_AM,BIKE_APPROACH_VOL_S_WKD_AM,BIKE_DEPART_VOL_E_WKD_AM,BIKE_DEPART_VOL_W_WKD_AM,BIKE_DEPART_VOL_N_WKD_AM,BIKE_DEPART_VOL_S_WKD_AM,PED_VOL_EAST_WKD_AM,PED_VOL_WEST_WKD_AM,PED_VOL_NORTH_WKD_AM,PED_VOL_SOUTH_WKD_AM,AUTO_APPROACH_VOL_E_WKD_PM,AUTO_APPROACH_VOL_W_WKD_PM,AUTO_APPROACH_VOL_N_WKD_PM,AUTO_APPROACH_VOL_S_WKD_PM,AUTO_DEPART_VOL_E_WKD_PM,AUTO_DEPART_VOL_W_WKD_PM,AUTO_DEPART_VOL_N_WKD_PM,AUTP_DEPART_VOL_S_WKD_PM,BIKE_APPROACH_VOL_E_WKD_PM,BIKE_APPROACH_VOL_W_WKD_PM,BIKE_APPROACH_VOL_N_WKD_PM,BIKE_APPROACH_VOL_S_WKD_PM,BIKE_DEPART_VOL_E_WKD_PM,BIKE_DEPART_VOL_W_WKD_PM,BIKE_DEPART_VOL_N_WKD_PM,BIKE_DEPART_VOL_S_WKD_PM,PED_VOL_EAST_WKD_PM,PED_VOL_WEST_WKD_PM,PED_VOL_NORTH_WKD_PM,PED_VOL_SOUTH_WKD_PM,AUTO_APPROACH_VOL_E_PM_BALLGAME,AUTO_APPROACH_VOL_W_PM_BALLGAME,AUTO_APPROACH_VOL_N_PM_BALLGAME,AUTO_APPROACH_VOL_S_PM_BALLGAME,AUTO_DEPART_VOL_E_PM_BALLGAME,AUTO_DEPART_VOL_W_PM_BALLGAME,AUTO_DEPART_VOL_N_PM_BALLGAME,AUTP_DEPART_VOL_S_PM_BALLGAME
23578000,16TH ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,170,329,300,1131,109,466,1040,315,,,,,,,,,,,,,121,378,512,815,66,471,681,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23784000,16TH ST,OWENS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,398,588,118,0,423,372,309,0,,,,,,,,,,,,,558,406,265,0,391,649,189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23744000,18TH ST,ARKANSAS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,92,40,88,91,49,57,135,70,,,,,,,,,,,,,106,82,92,77,97,93,88,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52247000,18TH ST,I-280 B OFF RAMP,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,112,124,246,0,296,186,0,0,,,,,,,,,,,,,129,167,263,0,318,241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52247000,18TH ST,I-280 NB ON RAMP,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,140,296,0,0,264,112,60,0,,,,,,,,,,,,,187,319,0,0,265,129,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23672000,18TH ST,TEXAS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,175,100,35,58,100,150,56,62,,,,,,,,,,,,,233,177,62,34,188,225,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23566000,19TH ST,ILLINOIS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,0,28,142,214,0,28,206,150,,,,,,,,,,,,,0,22,138,237,0,15,233,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23564000,20TH ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,59,90,326,762,96,118,731,292,,,,,,,,,,,,,89,81,511,667,59,107,655,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23562000,20TH ST,ILLINOIS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,35,90,142,200,61,64,194,148,,,,,,,,,,,,,115,56,148,204,40,101,234,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23555000,22ND ST,3RD ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,55,114,293,785,61,62,806,318,,,,,,,,,,,,,84,97,578,749,55,76,765,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23553000,22ND ST,ILLINOIS ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,9,56,123,205,17,54,203,119,,,,,,,,,,,,,22,43,166,191,16,79,184,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23619000,22ND ST,INDIANA ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,86,127,44,106,126,96,89,52,,,,,,,,,,,,,119,75,59,99,91,143,83,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23558000,22ND ST,TENNESSEE ST,INTERSECTION,,2,1/20/2014,MONDAY,20,1,2014,,,,,,,,58,104,47,20,89,83,36,21,,,,,,,,,,,,,78,113,76,29,126,92,52,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
